Player,No.,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Player-additional
Kostas Antetokounmpo,37,PF,10-Jun,200,November 20 1997,gr GR,R,Dayton,antetko01
J.J. Barea,5,PG,10-May,180,June 26 1984,pr PR,12,Northeastern University,bareajo01
Harrison Barnes,40,PF,8-Jun,225,May 30 1992,us US,6,UNC,barneha02
Ryan Broekhoff,45,SG,6-Jun,215,August 23 1990,au AU,R,Valparaiso,broekry01
Jalen Brunson,13,PG,2-Jun,190,August 31 1996,us US,R,Villanova,brunsja01
Trey Burke,23,PG,Jun-00,185,November 12 1992,us US,5,Michigan,burketr01
Luka Dončić,77,SG,6-Jun,230,February 28 1999,si SI,R,,doncilu01
Dorian Finney-Smith,10,SF,7-Jun,220,May 4 1993,us US,2,Florida,finnedo01
Tim Hardaway Jr.,11,SG,5-Jun,205,March 16 1992,us US,5,Michigan,hardati02
Devin Harris,34,PG,3-Jun,185,February 27 1983,us US,14,Wisconsin,harride01
Justin Jackson,44,SF,8-Jun,220,March 28 1995,us US,1,UNC,jacksju01
DeAndre Jordan,6,C,11-Jun,265,July 21 1988,us US,10,Texas A&M,jordade01
Maxi Kleber,42,PF,10-Jun,240,January 29 1992,de DE,1,,klebima01
Courtney Lee,1,SG,5-Jun,215,October 3 1985,us US,10,Western Kentucky,leeco01
Daryl Macon,3,SG,2-Jun,185,November 29 1995,us US,R,Arkansas,maconda01
Wesley Matthews,23,SF,5-Jun,220,October 14 1986,us US,9,Marquette,matthwe02
Salah Mejri,50,C,2-Jul,235,June 15 1986,tn TN,3,,mejrisa01
Dirk Nowitzki,41,PF,Jul-00,245,June 19 1978,de DE,20,,nowitdi01
Dwight Powell,7,C,10-Jun,240,July 20 1991,ca CA,4,Stanford,poweldw01
Dennis Smith Jr.,1,PG,2-Jun,205,November 25 1997,us US,1,NC State,smithde03
Ray Spalding,26,PF,10-Jun,215,March 11 1997,us US,R,Louisville,spaldra01
Rawle Alkins,20,SG,5-Jun,225,October 29 1997,us US,R,Arizona,alkinra01
Ryan Arcidiacono,51,PG,3-Jun,195,March 26 1994,us US,1,Villanova,arcidry01
Antonio Blakeney,9,SG,4-Jun,192,October 4 1996,us US,1,LSU,blakean01
Wendell Carter Jr.,34,C,10-Jun,270,April 16 1999,us US,R,Duke,cartewe01
Kris Dunn,32,PG,3-Jun,205,March 18 1994,us US,2,Providence,dunnkr01
Cristiano Felício,6,C,11-Jun,270,July 7 1992,br BR,3,,feliccr01
Shaquille Harrison,3,SG,4-Jun,190,October 6 1993,us US,1,Tulsa,harrish01
Justin Holiday,7,SG,6-Jun,180,April 5 1989,us US,5,Washington,holidju01
Chandler Hutchison,15,SF,6-Jun,210,April 26 1996,us US,R,Boise State,hutchch01
Zach LaVine,8,SG,5-Jun,200,March 10 1995,us US,4,UCLA,lavinza01
Walt Lemon Jr.,25,PG,3-Jun,180,July 26 1992,us US,1,Bradley,lemonwa01
Robin Lopez,42,C,1-Jul,281,April 1 1988,us US,10,Stanford,lopezro01
Timothé Luwawu-Cabarrot,7,SF,7-Jun,220,May 9 1995,fr FR,2,,luwawti01
Lauri Markkanen,24,PF,Jul-00,240,May 22 1997,fi FI,1,Arizona,markkla01
Jabari Parker,2,PF,8-Jun,245,March 15 1995,us US,4,Duke,parkeja01
Cameron Payne,22,PG,3-Jun,183,August 8 1994,us US,3,Murray State,payneca01
Otto Porter Jr.,22,SF,8-Jun,198,June 3 1993,us US,5,Georgetown,porteot01
Bobby Portis,5,PF,10-Jun,250,February 10 1995,us US,3,Arkansas,portibo01
Brandon Sampson,44,SG,5-Jun,184,May 1 1997,us US,R,LSU,sampsbr01
JaKarr Sampson,41,SF,7-Jun,214,March 20 1993,us US,3,St. John's,sampsja02
Wayne Selden,14,SG,5-Jun,230,September 30 1994,us US,2,Kansas,seldewa01
Tyler Ulis,0,PG,10-May,160,January 5 1996,us US,2,Kentucky,ulisty01
Keita Bates-Diop,31 33,SF,8-Jun,229,January 23 1996,us US,R,Ohio State,bateske01
Jerryd Bayless,8,PG,3-Jun,200,August 20 1988,us US,10,Arizona,bayleje01
Jimmy Butler,23,SG,7-Jun,230,September 14 1989,us US,7,Tyler Junior College Marquette,butleji01
Isaiah Canaan,7,PG,Jun-00,201,May 21 1991,us US,5,Murray State,canaais01
Robert Covington,33,SF,7-Jun,209,December 14 1990,us US,5,Tennessee State,covinro01
Mitch Creek,55,SF,5-Jun,216,April 27 1992,au AU,R,,creekmi01
Luol Deng,9,SF,9-Jun,237,April 16 1985,ss SS,14,Duke,denglu01
Gorgui Dieng,5,C,10-Jun,252,January 18 1990,sn SN,5,Louisville,dienggo01
Taj Gibson,67,PF,9-Jun,232,June 24 1985,us US,9,USC,gibsota01
Tyus Jones,1,PG,1-Jun,196,May 10 1996,us US,3,Duke,jonesty01
James Nunnally,7,SF,7-Jun,208,July 14 1990,us US,1,UC Santa Barbara,nunnaja01
Josh Okogie,20,SG,4-Jun,213,September 1 1998,ng NG,R,Georgia Tech,okogijo01
Cameron Reynolds,13,SG,7-Jun,225,February 7 1995,us US,R,Tulane,reynoca01
Derrick Rose,25,PG,3-Jun,200,October 4 1988,us US,9,Memphis,rosede01
Dario Šarić,36,PF,10-Jun,225,April 8 1994,hr HR,2,,saricda01
Jeff Teague,0,PG,3-Jun,195,June 10 1988,us US,9,Wake Forest,teaguje01
Jared Terrell,3,SG,3-Jun,227,February 10 1995,us US,R,Rhode Island,terreja01
Anthony Tolliver,43,PF,8-Jun,240,June 1 1985,us US,10,Creighton,tollian01
Karl-Anthony Towns,32,C,Jul-00,248,November 15 1995,us US,3,Kentucky,townska01
Andrew Wiggins,22,SF,7-Jun,197,February 23 1995,ca CA,4,Kansas,wiggian01
